Author: Vinit Patel
Class: CMSC-416-001-2021Spring
Date: 03/16/2021
Tagger and Scorer
========================
Correct: 48500
Incorrect: 8324
-----------------
Total: 56824

Accuracy: 85.35%
-----------------
Confusion Matrix:
Actual       /#   /$  /''  /(  /)    /,    /.   /:   /CC   /CD   /DT  /EX  /FW   /IN   /JJ  /JJR  /JJS  /LS  /MD   /NN  /NNP  /NNPS  /NNS  /PDT  /POS  /PRP  /PRP$   /RB  /RBR  /RBS  /RP  /SYM   /TO  /UH   /VB  /VBD  /VBG  /VBN  /VBP  /VBZ  /WDT  /WP  /WP$  /WRB  /``
/PRP          0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0  1042      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/PRP$         0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     8    507     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/RB           0    0    0   0   0     0     0    0     1     0     0    0    0    16   133     0     0    0    0    26    37      0     0     0     0     0      0  1706     0     0   30     0     0    3     5     0     0     0     1     0     0    0     0     1    0
/RBR          0    0    0   0   0     0     0    0     0     0     0    0    0     0     0    78     0    0    0     0     0      0     0     0     0     0      0     0    66     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/RP           0    0    0   0   0     0     0    0     0     0     0    0    0    28     1     0     0    0    0     0     0      0     0     0     0     0      0    35     0     0  107     0     0    0     0     0     0     0     0     0     0    0     0     0    0
/TO           0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     0     0     0    0     0  1245    0     0     0     0     0     0     0     0    0     0     0    0
/VB           0    0    0   0   0     0     0    0     0     0     0    0    0     0    21     0     0    0    0   152    22      0     4     0     0     0      0     6     0     0    0     0     0    0  1154     9     0    35   100     0     0    0     0     0    0
/VBD          0    0    0   0   0     0     0    0     0     0     0    0    0     0    34     0     0    0    0     1     0      0     0     0     0     0      0     0     0     0    0     0     0    0     1  1470     0   215     0     0     0    0     0     0    0
/VBG          0    0    0   0   0     0     0    0     0     0     0    0    0    28   123     0     0    0    0   389    49      0     0     0     0     0      0     0     0     0    0     0     0    0     7     0   817     0     1     0     0    0     0     0    0
/VBN          0    0    0   0   0     0     0    0     0     0     0    0    0     0   102     0     0    0    0     2     0      0     0     0     0     0      0     0     0     0    0     0     0    0     5   208     0   642     2     0     0    0     0     0    0
/VBP          0    0    0   0   0     0     0    0     0     0     0    0    0     0     3     0     0    0    0    43     0      0     0     0     0     0      0     0     0     0    0     0     0    0   211     1     0     0   605     0     0    0     0     0    0
/VBZ          0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     1     1      0   103     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0  1019     0    0     0     0    0
/WDT          0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0   139    0     0     0    0
/WP           0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0     1  111     0     0    0
/WP$          0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0    21     0    0
/WRB          0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0   131    0
/``           0    0    0   0   0     0     0    0     0     0     0    0    0     0     0     0     0    0    0     0     0      0     0     0     0     0      0     0     0     0    0     0     0    0     0     0     0     0     0     0     0    0     0     0  535
